dataset,scenario,lecturers,mode,seed,courses,positions,slotsRequested,candidateEdges,candidatesPerPosition,students,demandRatio,constraintsPerLecturer,msMean,msMin,msMax,msSd,repeats,msSetup,msGreedy,msRepair,msImprove,msIndividual,msReport,usPerSlot,slotsPerSecond,opsCanTake,opsFeasibleScan,opsFeasibleCandidates,opsGreedySortComparisons,opsLoadAdd,opsLoadRemove,opsDeficitEvaluations,opsDeficitLecturerScans,repairPasses,repairProbes,repairMoves,improvePasses,improveProbes,improveMoves,canTakePerSlot,slotsFilled,fillRate,totalDesirability,desirabilityBound,optimalityGap,meanDesirability,boundSlots,structuralErrors,ceilingViolations,ceilingViolationsBySearch,ceilingViolationsByIndividual,ceilingViolationsPreExisting,ceilingOverrunHours,floorViolations,floorShortfall,lecturersBelowFloor,hoursMean,hoursSd,hoursCv,hoursMin,hoursMax,hoursGini,coursesMean,coursesMax,utilisationMean,lecturersWithNoWork,studentsPlaced,studentsTotal,studentPlacementRate,issuesTotal,issuesUnfilled,issuesUnmetMinimum,issuesNoCandidates,issuesNoStudents,msArithmeticMean,planFingerprint
unconstrained-20,unconstrained,20,all,3466952928,52,312,327,1215,3.89,244,0.82,0,182.834,182.834,184.52,0.695,3,0.119,182.151,0.048,0.653,0.176,0.3,559.125,1789,477191,111353,477212,55513,344,17,360,360,1,0,0,1,17,0,1459.3,327,1,28170,28282,0.004,86.15,327,0,4,0,4,0,112,0,0,0,489.4,110.41,0.226,238,664,0.127,8.05,12,0.816,0,244,244,1,0,0,0,0,0,183.607,887e29ed
baseline-40,baseline,40,all,2953413586,83,542,566,2070,3.82,645,0.81,5.03,762.522,762.522,783.84,9.243,3,1.068,625.404,130.698,8.6,0.35,0.431,1347.213,742,1450017,342078,1447223,170756,5327,4761,80880,80880,12,2763,11,2,109,1,2561.87,566,1,48464,49529,0.0215,85.63,566,0,13,0,13,0,1257,7,7,6,486.45,166.71,0.343,208,876,0.196,6.55,11,0.906,0,645,645,1,7,0,7,0,0,770.979,e0c9b030
dense-candidates-40,dense-candidates,40,all,2756622191,90,563,597,5118,9.09,638,0.81,4.9,3223.261,3223.261,3321.072,48.905,2,0.197,1645.428,1281.833,392.401,0.613,0.573,5399.097,185,3636120,375899,3610065,187651,47276,46679,970440,970440,50,22542,50,25,3603,24,6090.65,597,1,54971,55974,0.0179,92.08,597,0,15,0,15,0,1025,13,17,11,484.05,169.29,0.35,64,714,0.196,9.63,16,0.859,0,638,638,1,13,0,13,0,0,3272.166,999aec9c
gaps-mode-40,gaps-mode,40,gaps,4028618816,113,638,325,2365,3.71,491,0.8,4.3,317.484,317.484,322.91,2.386,3,0.259,216.865,101.475,2.924,0.275,0.271,976.873,1024,465108,112819,463314,56247,3973,3317,61680,61680,7,1788,6,1,30,0,1431.1,325,1,28106,28392,0.0101,86.48,325,0,10,0,10,0,578,8,8,7,482.65,134.62,0.279,228,784,0.159,8.23,13,0.845,0,491,491,1,8,0,8,0,0,320.823,0eed84c6
oversubscribed-40,oversubscribed,40,all,1209410881,151,934,979,3485,3.73,987,1.36,8.07,1866.371,1866.371,1933.859,27.871,3,0.167,1865.666,4.076,38.269,0.444,0.396,1906.405,525,4447713,1075533,4445206,537277,3525,2649,23720,23720,1,2057,0,1,577,0,4543.12,876,0.8948,70436,85198,0.1733,80.41,979,0,40,0,40,0,7044,27,42,18,758.05,138.82,0.183,222,1134,0.092,9.82,15,1.304,0,987,987,1,130,103,27,0,0,1903.086,a137300a
sparse-candidates-40,sparse-candidates,40,all,2919441314,89,550,566,910,1.65,780,0.8,4.63,293.049,293.049,295.22,0.912,3,0.119,271.091,17.434,4.486,0.275,0.272,517.754,1931,604773,328964,604455,164199,1154,619,11600,11600,2,332,1,1,42,0,1068.5,535,0.9452,40658,43677,0.0691,76,566,0,11,0,11,0,1646,14,14,11,462.15,228.26,0.494,66,1260,0.258,3.83,8,0.883,0,780,780,1,45,31,14,0,0,293.984,48de6219
tight-ceilings-40,tight-ceilings,40,all,1559680290,101,669,690,2620,3.92,639,0.92,7.83,944.606,944.606,1031.007,35.506,3,0.131,976.509,0.11,19.029,0.345,0.28,1368.994,730,2285095,535632,2284916,267471,956,266,10680,10680,1,0,0,1,266,0,3311.73,690,1,57060,59418,0.0397,82.7,690,0,26,0,26,0,2122,0,0,0,554.75,163.29,0.294,160,830,0.167,7.35,12,1.017,0,639,639,1,0,0,0,0,0,990.675,3e761e15
tight-floors-40,tight-floors,40,all,100711319,104,632,662,2283,3.61,336,0.8,6.93,1323.453,1323.453,1351.051,12.15,3,0.119,853.711,297.984,194.643,0.167,0.271,1999.174,500,1899788,461908,1891897,230623,13681,13019,281720,281720,50,6095,50,20,1870,19,2869.77,662,1,55856,57341,0.0259,84.37,662,0,12,0,12,0,745,89,347,33,482.55,160.91,0.333,144,736,0.19,8.07,15,0.857,0,336,336,1,89,0,89,0,0,1340.469,fdc247e0
unconstrained-40,unconstrained,40,all,902953350,108,652,682,2526,3.87,327,0.81,0,885.634,885.634,913.622,11.788,3,0.138,883.582,0.081,9.278,0.16,0.225,1298.584,770,2127016,491862,2126953,245590,819,137,5520,5520,1,0,0,1,137,0,3118.79,682,1,58234,59432,0.0202,85.39,682,0,11,0,11,0,286,0,0,0,483.4,144.96,0.3,130,682,0.163,8.43,17,0.806,0,327,327,1,0,0,0,0,0,897.578,b978b03d
baseline-80,baseline,80,all,3095229918,184,1198,1267,4520,3.77,909,0.81,5.09,5411.727,5411.727,5559.645,73.959,2,0.228,3242.927,2061.126,254.454,0.44,0.457,4271.292,234,6965162,1651043,6940996,824888,40679,39413,1335760,1335760,30,22796,29,22,1554,21,5497.37,1266,0.9992,107013,109457,0.0223,84.53,1267,0,33,0,33,0,1996,15,16,15,483.1,163.38,0.338,136,830,0.194,7.38,12,0.902,0,909,909,1,16,1,15,0,0,5485.686,ee7bcc59
dense-candidates-80,dense-candidates,80,all,2656382563,187,1109,1155,10257,9.25,1522,0.8,4.93,9757.067,9757.067,9827.881,35.407,2,0.222,6072.556,2376.216,1376.987,1.249,0.639,8447.677,118,13762223,1390069,13733968,694457,51734,50579,2291280,2291280,50,22067,50,30,6323,29,11915.34,1155,1,106185,107780,0.0148,91.94,1155,0,33,0,33,0,2603,51,117,41,480.1,172.32,0.359,112,884,0.204,9.45,17,0.861,0,1522,1522,1,51,0,51,0,0,9792.474,43759d68
gaps-mode-80,gaps-mode,80,gaps,2235180236,171,1101,549,4250,3.86,1043,0.8,4.54,1821.327,1821.327,1915.709,41.401,3,0.515,698.086,1013.305,123.064,0.752,0.65,3317.535,301,1394193,324745,1383013,162098,20234,19077,680320,680320,26,10635,25,12,627,11,2539.51,545,0.9927,45941,47531,0.0335,84.3,549,0,21,0,21,0,1688,23,24,21,480.38,153.57,0.32,208,946,0.18,7,14,0.87,0,1043,1043,1,27,4,23,0,0,1857.807,b01b871a
oversubscribed-80,oversubscribed,80,all,1351227213,300,1939,2028,7188,3.71,1940,1.35,8.36,8388.989,8388.989,8436.725,23.868,2,0.281,8259.696,8.429,166.53,0.949,0.809,4136.582,242,17976507,4400292,17971454,2199132,7130,5342,96480,96480,1,4137,0,1,1193,0,8864.16,1788,0.8817,143741,176785,0.1869,80.39,2028,0,76,0,76,0,13249,49,80,35,741.5,146.89,0.198,246,1140,0.106,10.03,16,1.282,0,1940,1940,1,289,240,49,0,0,8412.857,01861e34
sparse-candidates-80,sparse-candidates,80,all,3061257646,190,1204,1268,1932,1.6,963,0.8,4.81,1623.606,1623.606,1700.544,31.79,3,0.189,1462.985,161.865,25.878,0.314,0.439,1280.447,781,2983373,1631662,2980874,815197,4973,3797,106960,106960,7,2474,6,2,188,1,2352.82,1176,0.9274,90817,99796,0.09,77.23,1268,0,17,0,17,0,2180,28,28,24,453.23,197.61,0.436,84,1048,0.246,4,9,0.869,0,963,963,1,120,92,28,0,0,1658.61,ce30c09f
tight-ceilings-80,tight-ceilings,80,all,1701496622,233,1422,1488,5605,3.94,980,0.92,7.4,4397.52,4397.52,4417.428,9.954,2,0.273,4345.588,0.187,70.343,0.475,0.545,2955.323,338,10107055,2335976,10106708,1167244,2033,545,43680,43680,1,0,0,1,545,0,6792.38,1488,1,123069,128537,0.0425,82.71,1488,0,49,0,49,0,3343,0,0,0,552.28,132.69,0.24,216,834,0.135,8.39,14,1.026,0,980,980,1,0,0,0,0,0,4407.474,6b1a77d3
tight-floors-80,tight-floors,80,all,2969343259,184,1093,1145,3978,3.64,1275,0.8,6.73,3399.951,3399.951,3496.19,48.12,2,0.171,2623.82,637.841,233.169,0.529,0.634,2969.39,337,5426707,1334197,5420622,666526,12592,11447,505840,505840,50,5238,50,15,981,14,4739.48,1145,1,98208,99662,0.0146,85.77,1145,0,20,0,20,0,2047,143,1147,68,480.6,165.71,0.345,120,896,0.195,6.88,14,0.841,0,1275,1275,1,143,0,143,0,0,3448.071,59137c64
unconstrained-80,unconstrained,80,all,1666751754,201,1232,1297,4696,3.81,882,0.8,0,3087.764,3087.764,3115.012,13.624,2,0.188,3104.844,0.15,8.76,0.544,0.51,2380.697,420,7217103,1710249,7217205,854476,1365,68,5520,5520,1,0,0,1,68,0,5564.46,1297,1,112139,112792,0.0058,86.46,1297,0,22,0,22,0,1216,0,0,0,480.83,144.68,0.301,184,766,0.172,8.01,14,0.801,0,882,882,1,0,0,0,0,0,3101.388,e03321b9
baseline-160,baseline,160,all,3528126107,316,2100,2186,8171,3.89,2963,0.81,5.08,17134.182,17134.182,17344.018,104.918,2,0.386,10043.425,5426.049,1871.763,1.248,1.114,7838.143,128,20685136,4842200,20654275,2420007,54915,52729,4258400,4258400,50,26244,50,30,4892,30,9462.55,2186,1,185329,188494,0.0168,84.78,2186,0,62,0,62,0,6038,44,46,42,483.88,183.22,0.379,134,948,0.217,6.38,13,0.912,0,2963,2963,1,44,0,44,0,0,17239.1,e4f2405f
dense-candidates-160,dense-candidates,160,all,47576712,385,2438,2542,22234,9.12,1931,0.8,5.03,35724.118,35724.118,35769.864,22.873,2,0.422,30431.799,3198.22,2136.302,1.696,1.384,14053.548,71,65405384,6662608,65385325,3330033,38304,35762,3269440,3269440,50,15458,50,30,4895,30,25729.89,2542,1,234146,237300,0.0133,92.11,2542,0,74,0,74,0,4481,127,866,91,481.76,163.77,0.34,72,778,0.194,10.2,19,0.863,0,1931,1931,1,127,0,127,0,0,35746.991,080c98b3
gaps-mode-160,gaps-mode,160,gaps,205047665,404,2507,1329,9121,3.64,2085,0.8,5,9795.284,9795.284,10245.255,224.985,2,2.385,3996.225,5852.928,390.759,1.397,1.522,7370.417,136,7556570,1832255,7522358,915463,57293,54693,3463040,3463040,25,33107,24,10,1236,9,5685.91,1326,0.9977,113092,115804,0.0234,85.29,1329,0,58,0,58,0,3458,45,45,38,480.2,164.93,0.343,26,920,0.195,7.79,14,0.894,0,2085,2085,1,48,3,45,0,0,10020.27,16efced9
oversubscribed-160,oversubscribed,160,all,4071223682,626,3909,4070,14882,3.81,3696,1.35,8.12,34733.647,34733.647,35092.047,179.2,2,1.413,34392.994,31.683,662.312,1.723,1.836,8534.066,117,71459870,17180340,71448952,8588135,15016,11500,415360,415360,2,8907,1,1,2535,0,17557.71,3516,0.8639,279450,352091,0.2063,79.48,4070,0,156,0,156,0,24463,91,155,70,730.35,133.45,0.183,276,1164,0.099,10.13,16,1.26,0,3696,3696,1,645,554,91,0,0,34912.847,2b1aa97f
sparse-candidates-160,sparse-candidates,160,all,3686432427,359,2293,2385,3728,1.63,2329,0.8,4.83,6265.348,6265.348,6413.204,73.928,2,0.427,5375.479,757.403,277.728,1.151,0.981,2626.98,381,10512349,5730777,10505908,2864196,11875,9677,640800,640800,16,5709,15,7,989,6,4407.69,2198,0.9216,168026,187023,0.1016,76.44,2385,0,46,0,46,0,5975,64,87,51,449.68,226.89,0.505,34,1186,0.282,3.7,8,0.87,0,2329,2329,1,251,187,64,0,0,6339.276,6aff9ca2
tight-ceilings-160,tight-ceilings,160,all,3311069995,445,2730,2829,10451,3.83,2505,0.93,7.78,16499.907,16499.907,17998.244,749.168,2,0.427,17550.622,0.376,443.606,1.63,1.548,5832.417,171,34636315,8247217,34635493,4122194,3999,1174,188000,188000,1,0,0,1,1174,0,12243.31,2825,0.9986,233731,245397,0.0475,82.74,2829,0,113,0,113,0,9589,0,0,0,557.86,159.91,0.287,150,924,0.163,7.86,15,1.072,0,2505,2505,1,4,4,0,0,0,17249.075,74056103
tight-floors-160,tight-floors,160,all,1615892384,377,2449,2575,9076,3.71,1927,0.8,6.75,18218.224,18218.224,19952.618,867.197,2,0.55,17621.373,1113.79,1212.483,1.321,2.886,7075.039,141,27751867,6706923,27744104,3352174,15611,13036,1279360,1279360,50,5157,50,18,2926,17,10777.42,2575,1,221354,224265,0.013,85.96,2575,0,49,0,49,0,3478,332,1979,137,480.14,163.32,0.34,60,852,0.194,7.61,14,0.838,0,1927,1927,1,332,0,332,0,0,19085.421,510201df
unconstrained-160,unconstrained,160,all,3411834695,367,2370,2477,9117,3.85,2132,0.8,0,11710.624,11710.624,11833.055,61.215,2,1.118,11795.571,0.296,34.097,0.923,1.006,4727.745,212,26299505,6186077,26299658,3091800,2608,131,21120,21120,1,0,0,1,131,0,10617.48,2477,1,212838,214125,0.006,85.93,2477,0,45,0,45,0,4044,0,0,0,480.73,172.89,0.36,10,930,0.205,7.54,14,0.801,0,2132,2132,1,0,0,0,0,0,11771.839,6191d92f
baseline-320,baseline,320,all,2923022885,712,4642,4848,17408,3.75,4380,0.8,5.06,68437.247,68437.247,69201.063,381.908,2,3.892,53731.618,11481.298,3979.299,2.562,2.314,14116.594,71,98347043,23633646,98316972,11814399,57074,52227,8575680,8575680,50,25549,50,22,5084,21,20286.11,4847,0.9998,417821,423395,0.0132,86.2,4848,0,105,0,105,0,8078,91,97,81,480.08,168.25,0.35,82,944,0.2,7.07,14,0.885,0,4380,4380,1,92,1,91,0,0,68819.155,61d22d69
dense-candidates-320,dense-candidates,320,all,3508918418,708,4421,4614,40349,9.13,4909,0.8,4.71,122414.851,122414.851,135330.519,6457.834,2,1.632,126172.92,3877.263,5269.718,4.859,4.017,26531.177,38,210151647,21537830,210138604,10766608,26552,21938,4504960,4504960,50,7979,50,20,5621,19,45546.52,4614,1,428111,431434,0.0077,92.79,4614,0,127,0,127,0,11937,232,1173,161,480.38,178,0.371,52,918,0.212,9.33,18,0.863,0,4909,4909,1,232,0,232,0,0,128872.685,c67f6afe
gaps-mode-320,gaps-mode,320,gaps,2877469807,777,4851,2512,18569,3.83,3872,0.8,4.73,50096.892,50096.892,52082.967,993.038,2,8.388,16412.421,33843.993,1813.07,2.572,2.445,19943.03,50,27552459,6422948,27469708,3210218,142202,137130,18083200,18083200,50,80732,50,13,2365,12,10968.34,2504,0.9968,211550,216515,0.0229,84.48,2512,0,94,0,94,0,6422,82,87,73,479.63,155.16,0.324,72,838,0.185,7.71,15,0.885,0,3872,3872,1,90,8,82,0,0,51089.93,6f8b33e8
oversubscribed-320,oversubscribed,320,all,3543588864,1235,7901,8316,30215,3.82,7204,1.35,8.21,182535.341,182535.341,186367.321,1915.99,2,2.778,164509.62,215.304,21630.811,4.496,4.134,21949.897,46,295271825,70346824,295203484,35169254,76825,69785,11068800,11068800,6,35221,5,16,34344,15,35506.47,7040,0.8466,557665,717823,0.2231,79.21,8316,0,315,0,315,0,46054,208,331,158,722.43,121.46,0.168,268,1112,0.09,9.98,17,1.245,0,7204,7204,1,1484,1276,208,0,0,184451.331,b748961b
sparse-candidates-320,sparse-candidates,320,all,350451509,771,4881,5102,8017,1.64,4010,0.8,4.87,42493.471,42493.471,42681.568,94.048,2,1.208,26017.742,10935.54,5723.523,1.343,2.124,8328.787,120,48547984,26122086,48501518,13058492,70952,66184,9117120,9117120,37,37792,36,27,9231,26,9515.48,4768,0.9345,360849,396268,0.0894,75.68,5102,0,74,0,74,0,9054,85,89,73,452.11,215.43,0.476,0,1204,0.269,3.9,9,0.873,1,4010,4010,1,419,334,85,0,0,42587.52,b046a373
tight-ceilings-320,tight-ceilings,320,all,4270056373,859,5451,5695,20980,3.85,4573,0.92,7.61,74906.814,74906.814,75098.879,96.032,2,2.067,73585.696,0.997,1503.995,2.763,3.248,13153.084,76,139393613,32888819,139391913,16441562,8157,2466,789440,789440,1,0,0,1,2466,0,24476.49,5691,0.9993,469353,493175,0.0483,82.47,5695,0,209,0,209,0,18233,0,0,0,551.98,165.85,0.3,204,1024,0.171,7.73,14,1.059,0,4573,4573,1,4,4,0,0,0,75002.847,bbc200be
tight-floors-320,tight-floors,320,all,1151401642,734,4759,5003,17970,3.78,4039,0.8,6.73,64673.105,64673.105,67119.012,1222.953,2,17.269,61787.22,2363.033,2946.135,2.002,3.125,12926.865,77,106252094,25135729,106244648,12565363,18053,13050,2791040,2791040,50,4448,50,21,3625,20,21237.68,5003,1,428673,432528,0.0089,85.68,5003,0,103,0,103,0,7202,645,6441,268,480,170.03,0.354,20,916,0.202,7.4,15,0.84,0,4039,4039,1,645,0,645,0,0,65896.058,effc4305
unconstrained-320,unconstrained,320,all,1070830825,738,4602,4770,17768,3.86,5154,0.8,0,44929.278,44929.278,45750.553,410.637,2,4.739,45623.913,0.647,115.798,3.276,2.114,9419.136,106,97412311,22832186,97412597,11413708,4993,223,71680,71680,1,0,0,1,223,0,20421.87,4770,1,410636,412897,0.0055,86.09,4770,0,86,0,86,0,8266,0,0,0,480.27,171.05,0.356,42,1034,0.203,7.35,15,0.8,0,5154,5154,1,0,0,0,0,0,45339.916,5bcb1dc2
